ARCIMRowid,ARCIMCode,ARCIMDesc
350||1,XY01138,咪康唑软膏(达克宁)[20g:0.4g]
3510||1,ZL00094,酒精擦浴
3511||1,ZL00095,特殊物理降温
3512||1,ZL00096,坐浴
3513||1,ZL00097,冷热湿敷
3514||1,ZL00098,更换引流袋
3515||1,ZL00099,引流管冲洗
3516||1,ZL00109,婴幼儿健康体检
3517||1,ZL00110,儿童龋齿预防保健
3518||1,ZL00111,家庭巡诊
3519||1,ZL00112,围产保健访视
351||1,XY01539,酮康唑片(里素劳)[200mg*10片]
3520||1,ZL00113,传染病访视
3521||1,ZL00114,家庭病床建床
3522||1,ZL00115,家庭病床巡诊
3523||1,ZL00116,副高及以上职称市内出诊
3524||1,ZL00117,中级及以下职称市内出诊
3525||1,ZL00118,副高及以上职称市外出诊
3526||1,ZL00119,中级及以下职称市外出诊
3527||1,ZL00120,建立健康档案
3528||1,ZL00121,健康咨询
3529||1,ZL00122,疾病健康教育
352||1,XY01799,伊曲康唑(斯皮仁诺)[0.1g*14片]
3530||1,ZL00123,尸体料理
3531||1,ZL00124,特殊传染病尸体料理
3532||1,ZL00125,尸体存放
3533||1,JC00097,磁共振扫描(MRI)胶片加收
3534||1,JC00098,磁共振扫描(MRI)心电设备加收
3535||1,JC00099,磁共振扫描(MRI)呼吸门控设备加收
3536||1,JC00100,磁共振扫描(MRI)场强在1.5T-3T加收
3537||1,JC00101,磁共振扫描(MRI)平扫
3538||1,JC00102,磁共振扫描(MRI)ST扫描后增强
3539||1,JC00103,磁共振扫描(MRI)增强
353||1,XY00624,复方聚乙二醇电解质散(和爽)[68.56g]
3540||1,JC00119,CT检查(10层以上)
3541||1,JC00120,CT检查呼吸门控设备加收
3542||1,JC00121,CT检查(普通CT加收)
3543||1,JC00122,CT检查(三维重建加收)
3544||1,JC00123,CT检查(使用心电设备加收)
3545||1,JC00124,CT检查ST增强扫描
3546||1,JC00125,CT检查增强扫描
3547||1,JC00190,浅表器官彩色多普勒超声检查(增加一部位)
3548||1,JC00199,颈部血管彩色多普勒超声(增加两根管)
3549||1,JC00206,四肢血管彩色多普勒超声(增加两根管)
354||1,XY01993,左氧氟沙星滴耳液[5ml:25mg]
3550||1,JC00257,脏器动态扫描(增加一次)
3551||1,JC00259,脏器静态扫描(增加一个体位)
3552||1,JC00268,甲状腺静态显象(增加一个体位)
3553||1,JC00275,静息心肌灌注显象(增加一个体位)
3554||1,JC00279,静息门控心肌灌注显象(增加一个体位)
3555||1,JC00281,负荷门控心肌灌注显象(增加一个体位)
3556||1,JC00283,首次通过法心血管显象(增加一个体位)
3557||1,JC00297,肺灌注显象(增加一个体位)
3558||1,JC00299,肺通气显象(增加一个体位)
3559||1,JC00360,脏器显像(门控加收)
355||1,XY00626,复方雷尼替丁胶囊(宜立舒)[24片]
3560||1,JC00372,负荷心肌灌注断层显象(门控加收)
3561||1,JC00377,甲状腺激素抑制试验(二次以上增加一次)
3562||1,FS00013,专用X线机复杂模拟定位
3563||1,FS00014,深部X线照射
3564||1,BL00007,尸体化学防腐处理
3565||1,BL00064,病理大体标本摄影
3566||1,BL00065,显微摄影术
3567||1,YB00007,特殊视力检查(增加一项)
3568||1,CZ00199,特殊要求导板费用加收
3569||1,CZ00251,各种斑、痣、小肿物、溃疡治疗②
356||1,XY00505,酚酞片[50mg*100片]
3570||1,CZ00252,根管处置1
3571||1,CZ00254,牙周处置2
3572||1,CZ00255,各种斑、痣、小肿物、溃疡治疗③
3573||1,CZ00256,牙周处置3
3574||1,CZ00257,根管处置2
3575||1,CZ00515,替牙障碍的矫治2
3576||1,CZ00545,伴开、深覆等疑难病例加收2
3577||1,CZ00559,伴开、深覆等疑难病例加收3
3578||1,CZ00579,用活动矫治器或固定矫治器治疗2
3579||1,CZ00581,用活动矫治器或固定矫治器治疗3
357||1,XY00513,呋喃妥因片[50mg*100片]
3580||1,CZ00778,细胞因子活化杀伤(CIK)细胞输注治疗
3581||1,CZ00798,食管狭窄扩张
3582||1,CZ00799,食管狭窄器械扩张
3583||1,YL00018,体检
3584||1,YL00019,救护车超过4公里
3585||1,YL00020,救护车
3586||1,YL00021,救护车接诊有暴力行为的精神病患者
3587||1,YL00022,监护型救护车
3588||1,YL00023,救护车接送传染病人感染防护费
3589||1,YL00024,病房取暖费
358||1,XY00627,复方利血平片[100片]
3590||1,YL00025,火炉取暖
3591||1,ZL00051,静脉泵入(微量输液泵)
3592||1,ZL00057,小儿静脉输液≥两瓶加收
3593||1,ZL00073,清创缝合(5针以内)
3594||1,JC00154,浅表组织器官彩超检查(四肢软组织)
3595||1,JC00155,浅表组织器官彩超检查(体表肿物)
3596||1,JC00156,浅表组织器官彩超检查(膝关节)
3597||1,JC00157,浅表组织器官B超检查(小儿颅腔)
3598||1,JC00158,浅表组织器官彩超检查(阴囊、双侧睾丸、附睾)
3599||1,JC00159,浅表组织器官彩超检查(乳腺及其引流区淋巴结)
359||1,XY2014082812,甲硝唑片1[0.2g*21片]1111
35||1,XY00253,冰黄肤乐软膏[20g]
3600||1,JC00160,浅表组织器官B超检查多部位同时做时，增加一个部位
3601||1,JC00161,浅表组织器官B超检查(甲状腺及颈部淋巴结)
3602||1,JC00163,浅表组织器官B超检查(双眼及附属器)
3603||1,CZ00619,血气分析1
3604||1,CZ01018,子宫输卵管通气
3605||1,CZ01019,输卵管再通术
3606||1,CZ01020,子宫内翻复位术
3607||1,CZ01021,宫腔吸片
3608||1,CZ01022,宫腔粘连分离术
3609||1,CZ01023,宫腔填塞术
360||1,XY01370,乳酸钙咀嚼片[0.3g*90片]
3610||1,CZ01024,取宫腔填塞物
3611||1,CZ01025,妇科射频治疗加收
3612||1,CZ01026,妇科特殊治疗
3613||1,CZ01027,妇科特殊治疗（宫颈）
3614||1,CZ01028,妇科特殊治疗（外阴）
3615||1,CZ01029,妇科特殊治疗（阴道）
3616||1,CZ01030,妇科激光治疗加收
3617||1,CZ01031,妇科微波治疗加收
3618||1,CZ01032,腹腔穿刺插管盆腔滴注
3619||1,CZ01033,妇科晚期恶性肿瘤减瘤
361||1,XY01594,维D2磷葡钙片[复方]
3620||1,CZ01034,产前检查
3621||1,CZ01035,电子骨盆内测量
3622||1,CZ01036,胎儿心电图
3623||1,CZ01037,胎心监测
3624||1,CZ01038,胎儿脐血流监测
3625||1,CZ01039,羊膜镜检查
3626||1,CZ01040,羊膜腔注药中期引产
3627||1,CZ01041,羊膜腔穿刺术
3628||1,CZ01042,羊水泡沫振荡试验
3629||1,CZ01043,性交试验
362||1,XY01697,(高危A)硝普钠粉针[50mg*5支]
3630||1,CZ01044,B超下采卵
3631||1,CZ01045,B超下卵巢囊肿穿刺
3632||1,CZ01046,精液处理
3633||1,CZ01047,胚胎培养
3634||1,CZ01048,冻融胚胎
3635||1,CZ01049,多胎减胎数
3636||1,CZ01050,胚胎移植
3637||1,CZ01051,单精子卵泡注射
3638||1,CZ01052,单精子显微镜下卵细胞内授精
3639||1,CZ01053,输卵管内胚子移植
363||1,XY01053,氯芬待因(舒尔芬)[40mg*10片]
3640||1,CZ01054,宫腔内人工授精术
3641||1,CZ01055,阴道内人工授精术
3642||1,CZ01056,药物粘堵绝育术
3643||1,CZ01057,输卵管绝育术
3644||1,CZ01058,上环术
3645||1,CZ01059,取环术
3646||1,CZ01060,双子宫上环术
3647||1,CZ01061,皮下避孕药取出术
3648||1,CZ01062,避孕药皮下埋植术
3649||1,CZ01063,分段诊断性刮宫术
364||1,XY2014012104,氯已定溶液[20ml]
3650||1,CZ01064,刮宫
3651||1,CZ01065,产后清宫术
3652||1,CZ01066,绒毛采样
3653||1,CZ01067,葡萄胎清宫术
3654||1,CZ01068,哺乳期人工流产术
3655||1,CZ01069,畸形子宫人工流产术
3656||1,CZ01070,人工流产术
3657||1,CZ01071,疤痕子宫人工流产术
3658||1,CZ01072,子宫内水囊引产
3659||1,CZ01073,催产素引产术
365||1,XY01254,葡萄糖酸氯已定含漱液[200ml]
3660||1,CZ01074,中孕药物引产术
3661||1,CZ01075,药物引产术
3662||1,CZ01076,乳房护理-乳房按摩
3663||1,CZ01077,吸乳
3664||1,CZ01078,乳房低频按摩
3665||1,CZ01079,新生儿暖箱
3666||1,CZ01080,新生儿测颅压
3667||1,CZ01081,新生儿复苏
3668||1,CZ01082,新生儿气管插管术
3669||1,CZ01083,新生儿人工呼吸(正压通气)
366||1,XY00651,复方紫草油[30ml]
3670||1,CZ01084,新生儿洗胃
3671||1,CZ01085,新生儿电子洗胃
3672||1,CZ01086,心电、呼吸、血压监护
3673||1,CZ01087,新生儿监护
3674||1,CZ01089,心电、呼吸、血压、氧饱和度监护
3675||1,CZ01090,新生儿脐静脉穿刺和注射
3676||1,CZ01091,股静脉穿刺术
3677||1,CZ01092,冷光源婴儿兰光治疗
3678||1,CZ01093,新生儿兰光治疗
3679||1,CZ01094,新生儿双管同步换血
367||1,XY01720,小儿宣肺止咳颗粒[8g*12袋]
3680||1,CZ01095,新生儿换血术
3681||1,CZ01096,新生儿经皮胆红素测定
3682||1,CZ01097,新生儿微量胆红素测定
3683||1,CZ01098,新生儿辐射抢救治疗
3684||1,CZ01099,新生儿前后囟门穿刺
3685||1,CZ01100,新生儿囟门穿刺术
3686||1,CZ01101,新生儿量表检查
3687||1,CZ01102,新生儿行为测定
3688||1,CZ01103,关节镜检查
3689||1,CZ01104,关节穿刺术
368||1,XY00636,复方碳酸钙泡腾颗粒(盖笛欣)[1.5g*15袋]
3690||1,CZ01105,关节腔灌注治疗
3691||1,CZ01106,持续关节腔冲洗
3692||1,CZ01107,骨膜封闭术
3693||1,CZ01108,肌腱内封闭术
3694||1,CZ01109,肌肉软组织内封闭术
3695||1,CZ01110,筋膜内封闭术
3696||1,CZ01111,软组织内封闭术
3697||1,CZ01112,神经根封闭术
3698||1,CZ01113,周围神经封闭术
3699||1,CZ01114,神经丛封闭术
369||1,XY00121,阿托品眼用凝胶(迪善)[2.5g:25mg]
36||1,ZY00276,补肾安神口服液[10ml*10支]
3700||1,CZ01115,腰骶丛神经封闭术
3701||1,CZ01116,臂丛神经封闭术
3702||1,CZ01117,鞘内封闭
3703||1,CZ01118,鞘内注射
3704||1,CZ01119,骶管滴注
3705||1,CZ01120,食物组变应原皮内试验
3706||1,CZ01121,细菌组变应原皮内试验
3707||1,CZ01122,水果组变应原皮内试验
3708||1,CZ01123,变应原皮内试验
3709||1,CZ01124,吸入组变应原皮内试验
370||1,XY01463,双氯芬酸钠滴眼液(迪非)[1ml:1mg*5]
3710||1,CZ01125,男性
3711||1,CZ01126,女性
3712||1,CZ01127,切口法皮肤活检
3713||1,CZ01128,皮肤活检
3714||1,CZ01129,皮肤直接免疫荧光检查
3715||1,CZ01130,疥虫取材检查
3716||1,CZ01131,利杜体取材检查
3717||1,CZ01132,零虫形螨虫取材检查
3718||1,CZ01133,皮损取材检查
3719||1,CZ01134,真菌取材检查
371||1,XY01724,小牛血去蛋白提取物眼用凝胶[5g]
3720||1,CZ01135,阴虱取材检查
3721||1,CZ01136,毛雍症检查
3722||1,CZ01137,天疱疮细胞检查
3723||1,CZ01138,伍德氏灯检查
3724||1,CZ01139,斑贴试验
3725||1,CZ01140,光敏试验
3726||1,CZ01141,醋酸白试验
3727||1,CZ01142,电解脱毛治疗
3728||1,CZ01143,手术法治疗
3729||1,CZ01145,皮赘去除
372||1,XY00638,复方托吡卡胺滴眼液[5ml:25mg]111111
3730||1,CZ01146,激光治疗
3731||1,CZ01147,皮肤赘生物电烧治疗
3732||1,CZ01148,黑光治疗(PUVA治疗)
3733||1,CZ01149,红光治疗
3734||1,CZ01150,白癜风皮肤移植
3735||1,CZ01151,面部磨削
3736||1,CZ01152,刮疣治疗
3737||1,CZ01153,丘疹挤粟治疗
3738||1,CZ01154,背封包治疗
3739||1,CZ01155,大腿封包治疗
373||1,XY01212,牛肺表面活性剂(珂立苏)[70mg]
3740||1,CZ01156,甲癣封包治疗
3741||1,CZ01157,上肢封包治疗
3742||1,CZ01158,下肢封包治疗
3743||1,CZ01159,小腿（含足）封包治疗
3744||1,CZ01160,胸封包治疗
3745||1,CZ01161,头部封包治疗
3746||1,CZ01162,拔甲治疗
3747||1,CZ01163,酒渣鼻切割
3748||1,CZ01164,药物面膜综合治疗
3749||1,CZ01165,疱病清疮
374||1,XY00028,(限抗)头孢硫脒粉针[0.5g]
3750||1,CZ01166,疱液抽取
3751||1,CZ01167,皮肤溃疡清创
3752||1,CZ01168,皮损内注射
3753||1,CZ01169,粉刺去除
3754||1,CZ01170,鸡眼刮除
3755||1,CZ01171,鸡眼切除
3756||1,CZ01172,血管瘤硬化剂注射治疗
3757||1,CZ01173,鲜红斑痣等血管性皮肤病脉冲激光治疗
3758||1,CZ01174,太田痣等色素性皮肤病脉冲激光治疗
3759||1,CZ01175,脉冲激光治疗
375||1,XY00029,(限抗)头孢硫脒粉针(仙力素)[1g]
3760||1,CZ01176,二氧化碳(CO2)激光体表良性增生物治疗
3761||1,CZ01177,二氧化碳(CO2)激光治疗
3762||1,CZ01178,激光脱毛
3763||1,CZ01179,激光除皱
3764||1,CZ01180,氦氖(He-Ne)激光过敏性疾患照射治疗
3765||1,CZ01181,氦氖(He-Ne)激光疖肿照射治疗
3766||1,CZ01182,氦氖(He-Ne)激光血管内照射
3767||1,CZ01183,氦氖(He-Ne)激光照射治疗
3768||1,CZ01184,小肿物氩激光治疗
3769||1,CZ01186,激光治疗腋臭
376||1,XY01553,(限抗)头孢克肟胶囊(世福素)[100mg*6粒]
3770||1,CZ01187,液氮冷冻治疗
3771||1,CZ01188,疣液氮冷冻治疗
3772||1,CZ01189,老年斑液氮冷冻治疗
3773||1,CZ01190,烧伤抢救(大)
3774||1,CZ01191,烧伤抢救(中)
3775||1,CZ01192,烧伤抢救(小)
3776||1,CZ01193,爆震伤复合伤抢救
3777||1,CZ01194,严重电烧伤复合伤抢救
3778||1,CZ01195,吸入性损伤复合伤抢救
3779||1,CZ01196,烧伤复合伤抢救
377||1,XY00086,阿苯达唑片[0.2g*10片]
3780||1,CZ01197,烧伤复合伤合并中毒抢救
3781||1,CZ01198,烧伤冲洗清创术(大)
3782||1,CZ01199,烧伤冲洗清创术(中)
3783||1,CZ01200,烧伤冲洗清创术(小)
3784||1,CZ01201,护架烤灯
3785||1,CZ01202,烧伤大型远红外线治疗机治疗
3786||1,CZ01203,烧伤浸浴扩创(大)
3787||1,CZ01204,烧伤浸浴扩创(中)
3788||1,CZ01205,烧伤浸浴扩创(小)
3789||1,CZ01206,翻身床治疗
378||1,XY00647,复方盐酸伪麻黄碱(新康泰克)[90mg*10片]
3790||1,CZ01207,烧伤后功能训练
3791||1,CZ01208,烧伤换药(大)
3792||1,CZ01209,烧伤换药(中)
3793||1,CZ01210,烧伤换药(小)
3794||1,JS00001,艾森贝格行为量表
3795||1,JS00002,迟发运动障碍评定量表
3796||1,JS00003,丹佛小儿智能发育筛查表
3797||1,JS00004,短时记忆广度测定
3798||1,JS00005,儿童内外控量表
3799||1,JS00006,汉密尔顿焦虑量表
379||1,XY01154,莫匹罗星软膏(百多邦)[10g:0.2g]
37||1,XY00793,活血通脉片[0.5g*60片]
3800||1,JS00007,汉密尔顿抑郁量表
3801||1,JS00008,绘人智力测定
3802||1,JS00009,简明心理状况测验(MMSE)
3803||1,JS00010,精神科A类量表测查使用电脑自测的量表
3804||1,JS00011,康奈氏(Conners)儿童行为量表
3805||1,JS00012,气质量表
3806||1,JS00013,日常生活能力评定量表
3807||1,JS00014,瞬时记忆测验
3808||1,JS00015,瞬时记忆广度测定
3809||1,JS00016,思维型、艺术型测定
380||1,XY01155,莫匹罗星软膏(百多邦)[5g:0.1g]
3810||1,JS00017,五分量表
3811||1,JS00018,药物副作用量表
3812||1,JS00019,再认能力测定感统量表
3813||1,JS00020,锥体外系副作用量表
3814||1,JS00021,艾森贝格（Asberg）抗抑郁剂副反应量表
3815||1,JS00022,比奈智力测定(10岁以下)
3816||1,JS00023,不自主运动评定量表
3817||1,JS00024,儿童孤独行为检查量表
3818||1,JS00025,简明精神病评定量表(BPRS)
3819||1,JS00026,精神科A类量表测查
381||1,XY01223,帕罗西汀片(赛乐特)[20mg*10片]
3820||1,JS00027,小学生推理能力测定
3821||1,JS00028,躁狂状态评定量表
3822||1,JS00029,智力成就责任问卷
3823||1,JS00030,常识注意测验
3824||1,JS00031,注意广度测定
3825||1,JS00032,阿成贝切(Achenbach)儿童行为量表
3826||1,JS00033,催眠感受性测定
3827||1,JS00034,宗(Zung)氏焦虑自评量表
3828||1,JS00035,检查空间位置记忆广度测定
3829||1,JS00036,宗(Zung)氏抑郁自评量表
382||1,XY01506,特比萘芬(兰)[5g:0.05g]
3830||1,JS00037,临床总体印象量表(CGI)
3831||1,JS00038,认知方式测定
3832||1,JS00039,注意分配测定
3833||1,JS00040,长谷川智能量表测验
3834||1,JS00041,本顿视觉保持测定
3835||1,JS00042,标准化现状检查
3836||1,JS00043,布雷德(Bleied)痴呆评定量表
3837||1,JS00044,格式塔测验
3838||1,JS00045,各种个别能力测验
3839||1,JS00046,简明智能测查(SM能力测查)
383||1,XY00366,弹性酶肠溶片[600IU*24片]
3840||1,JS00047,紧张性生活事件评定量表
3841||1,JS00048,精神科B类量表测查
3842||1,JS00049,精神科B类量表测查使用电脑自测的量表加收
3843||1,JS00050,老年认知功能量表(SECC)
3844||1,JS00051,慢性精神病标准化评定量表
3845||1,JS00052,瑞文智力测定
3846||1,JS00053,社会功能缺陷筛选量表
3847||1,JS00054,图片词汇测验
3848||1,JS00055,阳性和阴性精神症状评定(PANSS)量表
3849||1,JS00056,强迫症状问卷
384||1,XY00642,复方消化酶胶囊[20粒]
3850||1,JS00057,艾森克人格测定(少年版)
3851||1,JS00058,精神护理观察量表
3852||1,JS00059,成人孤独症诊断量表(ADI)
3853||1,JS00060,儿童发育量表(PEP)
3854||1,JS00061,精神科C类量表测查
3855||1,JS00062,明尼苏达多相个性测验
3856||1,JS00063,神经心理测验
3857||1,JS00064,韦氏智力测定(学前、学龄)
3858||1,JS00065,韦氏智力测验
3859||1,JS00066,现状精神病症状检查(PSE)
385||1,XY01127,门冬酰胺酶粉针[10000U]
3860||1,JS00067,阴性症状评定量表(SANS)
3861||1,JS00068,症状自评量表
3862||1,JS00069,专家系统行为观察诊断量表
3863||1,JS00070,808神经类型测验
3864||1,JS00071,卡特尔16项人格测验
3865||1,JS00072,临床记忆测验
3866||1,JS00073,阳性症状评定量表(SAPS)
3867||1,JS00074,成人韦氏记忆测验
3868||1,JS00075,复合性国际诊断问卷(CIDI)
3869||1,JS00076,精神科C类量表测查使用电脑自测的量表加收
386||1,XY01824,胰激肽原酶粉针(怡开)[40IU]
3870||1,JS00077,艾森克个性测验
3871||1,JS00078,比奈智力测定(10岁以上)
3872||1,JS00079,十六种人格问卷
3873||1,JS00080,科赫(Kohs)立方体组合测验
3874||1,JS00081,套瓦(TOVA)注意力竞量测试
3875||1,JS00082,眼动检查
3876||1,JS00083,尿MHPG测定
3877||1,JS00084,首诊精神病检查
3878||1,JS00085,临床鉴定
3879||1,JS00086,精神病司法鉴定重大疑难案例
387||1,XY01825,胰激肽原酶肠溶片(怡开)[120IU*24片]
3880||1,JS00087,精神病司法鉴定普通案例
3881||1,JS00088,精神病司法鉴定缺席案例
3882||1,JS00089,脑功能检查
3883||1,JS00090,脑电治疗(A620)
3884||1,JS00091,抗精神病药物治疗监测
3885||1,JS00092,常温冬眠治疗监测
3886||1,JS00093,精神科监护
3887||1,JS00094,电休克治疗
3888||1,JS00095,多参数监护无抽搐电休克治疗
3889||1,JS00096,暴露疗法和半暴露疗法
388||1,XY01657,吸入用复方异丙托溴铵溶液(可必特)[2.5ml*10支]
3890||1,JS00097,胰岛素低血糖和休克治疗
3891||1,JS00098,行为观察和治疗
3892||1,JS00099,冲动行为干预治疗
3893||1,JS00101,脑反射治疗
3894||1,JS00102,智能电针治疗
3895||1,JS00103,经络氧疗法
3896||1,JS00104,感觉统合治疗
3897||1,JS00105,工娱治疗
3898||1,JS00106,特殊工娱治疗
3899||1,JS00107,音乐治疗
389||1,XY01904,复方营养混悬剂(海汇要素)[125g]
38||1,XY01416,肾复康胶囊[0.3g*48粒]
3900||1,JS00108,暗示治疗
3901||1,JS00109,松驰治疗
3902||1,JS00110,漂浮治疗
3903||1,JS00111,听力整合及语言训练超过45分钟每10分钟加收
3904||1,JS00112,听力整合及语言训练
3905||1,JS00113,心理咨询
3906||1,JS00114,小组心理治疗
3907||1,JS00115,心理治疗
3908||1,JS00116,麻醉分析
3909||1,JS00117,催眠治疗
390||1,XY01832,乙氧苯柳胺软膏(艾迪特)[10g:0.5g]
3910||1,JS00118,森田疗法
3911||1,JS00119,行为矫正治疗
3912||1,JS00120,厌恶治疗
3913||1,MZ00001,手术中使用超声刀加收
3914||1,MZ00002,手术中使用高频电刀加收
3915||1,MZ00003,手术中使用氩气刀加收
3916||1,MZ00004,特异性感染疾病患者手术中特殊消毒费加收
3917||1,MZ00005,急诊手术、传染病患者手术中特殊消毒费加收
3918||1,MZ00006,麻醉中使用笑气加收
3919||1,MZ00007,局部浸润麻醉
391||1,XY00116,(高危B)阿糖胞苷粉针[0.1g]
3920||1,MZ00008,神经阻滞麻醉
3921||1,MZ00009,神经阻滞麻醉2小时以上
3922||1,MZ00010,臂丛神经阻滞麻醉
3923||1,MZ00011,星状神经阻滞麻醉
3924||1,MZ00012,颈丛神经阻滞麻醉
3925||1,MZ00013,会阴阻滞麻醉
3926||1,MZ00014,椎管内麻醉
3927||1,MZ00015,椎管内麻醉硬膜外联合阻滞麻醉
3928||1,MZ00017,椎管内麻醉双穿刺点加收
3929||1,MZ00018,硬膜外阻滞麻醉
392||1,XY00670,甘露聚糖肽粉针(大)[10mg]
3930||1,MZ00019,椎管内麻醉2小时以上
3931||1,MZ00020,基础麻醉
3932||1,MZ00021,全身麻醉
3933||1,MZ00022,全身麻醉2小时以上
3934||1,MZ00023,血液加温治疗
3935||1,MZ00024,支气管内麻醉2小时以上
3936||1,MZ00025,支气管内麻醉
3937||1,MZ00026,镇痛分娩
3938||1,MZ00027,术后镇痛（腰麻硬膜外联合给药）
3939||1,MZ00028,术后镇痛
393||1,XY00011,(特抗)伏立康唑粉针(威凡)[200mg]
3940||1,MZ00029,术后镇痛（静脉硬膜外联合给药）
3941||1,MZ00030,侧脑室连续镇痛
3942||1,MZ00031,硬膜外连续镇痛
3943||1,MZ00032,椎管内置管术
3944||1,MZ00033,椎管内置管术（神经根脱髓鞘治疗）
3945||1,MZ00034,心肺复苏术
3946||1,MZ00035,气管插管术
3947||1,MZ00036,经鼻腔探置管
3948||1,MZ00037,经口盲探置管
3949||1,MZ00038,特殊方法气管插管术
394||1,XY00016,(限抗)伏立康唑片(威凡)[200mg*10片]
3950||1,MZ00039,气管镜气管插管术
3951||1,MZ00040,纤维喉镜气管插管术
3952||1,MZ00041,逆行法气管插管术
3953||1,MZ00042,麻醉中监测
3954||1,MZ00043,麻醉中监测（肺顺应性）
3955||1,MZ00044,麻醉中监测（呼气末二氧化碳）
3956||1,MZ00045,麻醉中监测（呼气末麻醉药浓度）
3957||1,MZ00046,麻醉中监测（心率变异分析）
3958||1,MZ00047,麻醉中监测（有创血压）
3959||1,MZ00048,麻醉中监测（中心静脉压）
395||1,XY2013102202,阿奇霉素肠溶胶囊[0.25g*6片]作废
3960||1,MZ00049,麻醉中监测（ST段分析）
3961||1,MZ00050,麻醉中监测（脑电双谱指数）
3962||1,MZ00051,麻醉中监测（肌松）
3963||1,MZ00052,麻醉中监测（氧浓度）
3964||1,MZ00053,控制性降压
3965||1,MZ00054,体外循环
3966||1,MZ00055,体外循环2小时以上
3967||1,SS00001,神经系统手术接触式激光刀加收
3968||1,SS00002,神经系统手术气钻加收
3969||1,SS00003,神经系统手术显微镜加收
396||1,XY00115,(高危B)阿糖胞苷粉针(小赛德萨)[0.1g]
3970||1,SS00004,神经系统手术脑内窥镜加收
3971||1,SS00005,头皮肿物切除术
3972||1,SS00006,颅骨骨瘤切除术
3973||1,SS00007,帽状腱膜下血肿切开引流术
3974||1,SS00008,帽状腱膜下脓肿切开引流术
3975||1,SS00009,颅内硬膜外脓肿引流术
3976||1,SS00010,颅内硬膜外血肿引流术
3977||1,SS00011,脑脓肿穿刺引流术
3978||1,SS00012,静脉窦破裂修补术
3979||1,SS00013,开放性颅脑火器伤清除术
397||1,XY00442,多沙唑嗪缓释片(可多华)[4mg*10片]
3980||1,SS00014,开放性颅脑损伤清除术
3981||1,SS00015,颅骨凹陷骨折复位术
3982||1,SS00016,去颅骨骨瓣减压术
3983||1,SS00017,颅骨假体植入修补术
3984||1,SS00018,颅骨修补术
3985||1,SS00019,颅骨钻孔探查术
3986||1,SS00020,颅骨钻孔探查术（两孔以上）
3987||1,SS00021,经颅眶肿瘤切除术
3988||1,SS00022,经颅内镜活检术
3989||1,SS00023,慢性硬膜下血肿钻孔术
398||1,XY00526,氟康唑胶囊(大扶康)[0.05g*7粒]
3990||1,SS00024,高血压脑出血碎吸术
3991||1,SS00025,颅内多发血肿清除术
3992||1,SS00026,颅内多发血肿清除术（非同一部位血肿）
3993||1,SS00027,脑内血肿清除术
3994||1,SS00028,硬膜下血肿清除术
3995||1,SS00029,单纯硬膜外血肿清除术
3996||1,SS00030,颅内血肿清除术
3997||1,SS00031,经颅内镜颅内血肿清除术
3998||1,SS00032,大脑颞极切除颅内减压术
3999||1,SS00033,额极切除颅内减压术
399||1,XY00527,(限抗)氟康唑氯化钠注射液(大扶康)[50ml:100mg]
39||1,XY00290,参贝止咳颗粒[10g*9袋]
3||1,XY00138,安宫牛黄丸(北京)[3g*1丸]
4000||1,SS00034,枕极切除颅内减压术
4001||1,SS00035,颞肌下减压术
4002||1,SS00036,开颅颅内减压术
4003||1,SS00037,经颅视神经管减压术
4004||1,SS00038,颅内压监护传感器置入术
4005||1,SS00039,脑内监护传感器置入术
4006||1,SS00040,脑室内监护传感器置入术
4007||1,SS00041,颅内硬膜下监护传感器置入术
4008||1,SS00042,硬膜外监护传感器置入术
4009||1,SS00043,侧脑室-膀胱分流术
400||1,XY01196,尼麦角林片(思尔明)[10mg*30片]
4010||1,SS00044,侧脑室分流术
4011||1,SS00045,侧脑室-腹腔分流术
4012||1,SS00046,侧脑室-心房分流术
4013||1,SS00047,脑室钻孔伴脑室引流术
4014||1,SS00048,颅内蛛网膜囊肿分流术
4015||1,SS00049,大脑半球凸面脑膜瘤切除术
4016||1,SS00050,幕上浅部病变切除术
4017||1,SS00051,幕上浅部胶质增生切除术
4018||1,SS00052,幕上浅部脑脓肿切除术
4019||1,SS00053,幕上浅部转移癌切除术
401||1,XY01411,舍曲林片(左洛复)[50mg*14片]
4020||1,SS00054,大脑半球胶质瘤切除术
4021||1,SS00055,大静脉窦旁脑膜瘤切除+血管窦重建术
4022||1,SS00056,横窦旁脑膜瘤切除+血管窦重建术
4023||1,SS00057,窦汇区旁脑膜瘤切除+血管窦重建术
4024||1,SS00058,矢状窦旁脑膜瘤切除+血管窦重建术
4025||1,SS00059,幕上深部后部肿瘤切除术
4026||1,SS00060,幕上深部脑脓肿切除术
4027||1,SS00061,幕上深部脑室内肿瘤切除术
4028||1,SS00062,幕上深部病变切除术
4029||1,SS00063,幕上深部胼胝体肿瘤切除术
402||1,XY01559,(限抗)头孢哌铜钠舒巴坦钠粉针(舒普深)[1.5g]
4030||1,SS00064,幕上深部海绵状血管瘤切除术
4031||1,SS00065,幕上深部三室前(突入到第三脑室）颅咽管瘤切除术
4032||1,SS00066,第四脑室肿瘤切除术
4033||1,SS00067,四室导水管囊虫切除术
4034||1,SS00068,四室室管膜瘤切除术
4035||1,SS00069,小脑下蚓部肿瘤切除术
4036||1,SS00070,经颅内镜脑室肿瘤切除术
